date,month,day_of_week,is_weekend,service_type,avg_service_time,actual_service_time,appointments_per_day,service_slots,num_technicians,backlog_size,demand_capacity_ratio,delay_risk,wait_time
2024-01-01,1,0,0,Inspection,1.2,1.1140852234875775,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Inspection,1.2,1.461354132675049,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Brake,2.5,2.174956102681505,31,40,8,0,0.775,0,1.0
2024-01-01,1,0,0,Inspection,1.2,1.4649366098642955,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Brake,2.5,2.0360228650176544,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Software,1.0,1.456986896311025,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Software,1.0,0.9283831568974037,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Tire,1.5,1.7509942532138498,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Battery,3.5,3.513511393485203,31,40,8,0,0.775,0,1.0
2024-01-01,1,0,0,Tire,1.5,1.2489989463742963,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Brake,2.5,2.6693084847175346,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Battery,3.5,2.9138035111639944,31,40,8,0,0.775,0,1.0
2024-01-01,1,0,0,Inspection,1.2,1.3384193716544162,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Software,1.0,1.459541228979397,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Tire,1.5,1.604687327666912,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Inspection,1.2,1.153950813522605,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Software,1.0,0.8854267643913452,31,40,8,0,0.775,0,1.0
2024-01-01,1,0,0,Brake,2.5,3.591310703637869,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Tire,1.5,1.895648398571681,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Tire,1.5,1.796085344210991,31,40,8,0,0.775,0,1.0
2024-01-01,1,0,0,Tire,1.5,2.0138894645291705,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Tire,1.5,2.1395687179490315,31,40,8,0,0.775,1,2.0
2024-01-01,1,0,0,Software,1.0,0.8316591022373767,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Inspection,1.2,1.286488923339165,31,40,8,0,0.775,0,2.0
2024-01-01,1,0,0,Inspection,1.2,1.4528709791576324,31,40,8,0,0.775,1,1.0
